Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Sentiment,Predicted_Close
297,2011-08-31,4.96,5.1,4.856,4.948,4.948,4119000,0,5.1686570377604255
298,2011-09-01,4.932,4.974,4.768,4.8,4.8,4240500,0,5.17412753148389
299,2011-09-02,4.732,4.798,4.536,4.614,4.614,3849500,0,5.042626998436646
300,2011-09-06,4.5,4.64,4.458,4.588,4.588,4049000,0,4.848342488377966
301,2011-09-07,4.678,4.8,4.656,4.768,4.768,2296000,0,4.77208350775345
302,2011-09-08,4.716,4.806,4.656,4.722,4.722,2528500,0,4.917506223737206
303,2011-09-09,4.674,4.714,4.51,4.594,4.594,3346500,0,4.967903333489261
304,2011-09-12,4.5,4.662,4.49,4.576,4.576,2833000,0,4.889140148653468
305,2011-09-13,4.602,4.82,4.55,4.816,4.816,3632500,0,4.826699009123331
306,2011-09-14,4.85,4.968,4.758,4.868,4.868,4154000,0,4.984881241802668
307,2011-09-15,4.916,4.986,4.866,4.964,4.964,2813000,0,5.0939929967228466
308,2011-09-16,4.956,5.168,4.898,5.16,5.16,7085500,0,5.2014800001011565
309,2011-09-19,4.99,5.162,4.764,5.154,5.154,5787000,0,5.365386128120605
310,2011-09-20,5.196,5.32,5.134,5.202,5.202,5902000,0,5.393468989632822
311,2011-09-21,5.19,5.39,5.14,5.17,5.17,4938000,0,5.411669188096965
312,2011-09-22,5.128,5.222,4.976,5.126,5.126,3879000,0,5.3700815110167355
313,2011-09-23,5.098,5.324,5.07,5.276,5.276,5782000,0,5.3137220102854315
314,2011-09-26,5.304,5.304,4.98,5.104,5.104,4674000,0,5.413562247232875
315,2011-09-27,5.2,5.398,5.114,5.238,5.238,3372500,0,5.327033048146603
316,2011-09-28,5.2,5.3,4.902,4.918,4.918,3616500,0,5.401026320199037
317,2011-09-29,5.144,5.164,4.71,4.824,4.824,4648000,0,5.177064009041175
318,2011-09-30,4.96,4.978,4.698,4.878,4.878,6680500,0,5.025261534709614
319,2011-10-03,4.99,5.0,4.65,4.746,4.746,5116000,0,5.026364577040766
320,2011-10-04,4.658,4.864,4.586,4.732,4.732,6001500,0,4.961791882735554
321,2011-10-05,4.806,5.168,4.67,5.074,5.074,6147500,0,4.950060878483896
322,2011-10-06,5.074,5.52,5.004,5.392,5.392,8845500,0,5.220514933302411
323,2011-10-07,5.396,5.52,5.21,5.398,5.398,6558000,0,5.572474872807192
324,2011-10-10,5.462,5.636,5.4,5.576,5.576,4617500,0,5.679902252275724
325,2011-10-11,5.502,5.554,5.418,5.522,5.522,2878500,0,5.792546723851103
326,2011-10-12,5.45,5.6,5.44,5.56,5.56,5617000,0,5.7325948825547925
327,2011-10-13,5.526,5.694,5.488,5.588,5.588,5217500,0,5.710057044653269
328,2011-10-14,5.6,5.71,5.452,5.61,5.61,7002500,0,5.715572256309059
329,2011-10-17,5.572,5.6,5.452,5.484,5.484,3772500,0,5.744460040603485
330,2011-10-18,5.46,5.686,5.342,5.668,5.668,4998500,0,5.663893232496463
331,2011-10-19,5.604,5.612,5.46,5.514,5.514,3964500,0,5.779608335426133
332,2011-10-20,5.488,5.494,5.4,5.468,5.468,4998500,0,5.706658481795074
333,2011-10-21,5.48,5.66,5.402,5.606,5.606,5713000,0,5.643770162941507
334,2011-10-24,5.574,5.778,5.55,5.71,5.71,4703000,0,5.723964321612328
335,2011-10-25,5.646,5.772,5.56,5.65,5.65,3272000,0,5.844971046536102
336,2011-10-26,5.638,5.674,5.48,5.596,5.596,2552500,0,5.84269043198654
337,2011-10-27,5.668,5.79,5.622,5.752,5.752,4347000,0,5.780711377757285
338,2011-10-28,5.7,6.0,5.602,5.974,5.974,6320000,0,5.86457240688037
339,2011-10-31,5.9,5.902,5.75,5.874,5.874,5670000,0,6.071273596153333
340,2011-11-01,5.678,5.784,5.6,5.776,5.776,3176000,0,6.06681670889634
341,2011-11-02,5.8,5.852,5.65,5.742,5.742,4376500,0,5.962266183075286
342,2011-11-03,6.0,6.498,5.906,6.492,6.492,12548500,0,5.87351599334923
343,2011-11-04,6.292,6.48,6.102,6.462,6.462,15164500,0,6.435322283368521
344,2011-11-07,6.328,6.4,6.15,6.254,6.254,6331500,0,6.633422723653922
345,2011-11-08,6.274,6.4,6.144,6.368,6.368,5839500,0,6.5040090274494275
346,2011-11-09,6.174,6.298,6.06,6.176,6.176,4768500,0,6.467280699017266
347,2011-11-10,6.188,6.3,6.13,6.266,6.266,3736500,0,6.2804193657277665
348,2011-11-11,6.38,6.9,6.114,6.728,6.728,19341500,0,6.299320145131958
349,2011-11-14,6.6,6.708,6.524,6.644,6.644,6628500,0,6.694984410514621
350,2011-11-15,6.584,6.88,6.546,6.786,6.786,4455000,0,6.793572545356426
351,2011-11-16,6.696,7.0,6.68,6.988,6.988,9166000,0,6.908795751030311
352,2011-11-17,6.9,6.98,6.638,6.736,6.736,6746500,0,7.054576210472845
353,2011-11-18,6.728,6.822,6.508,6.52,6.52,4514000,0,6.87740376252458
354,2011-11-21,6.488,6.488,6.21,6.352,6.352,5158000,0,6.615803858310244
355,2011-11-22,6.352,6.558,6.21,6.414,6.414,3663000,0,6.388398266361861
356,2011-11-23,6.352,6.41,6.25,6.29,6.29,2259000,0,6.3990262282823664
357,2011-11-25,6.31,6.482,6.216,6.332,6.332,1198000,0,6.363505284023518
358,2011-11-28,6.4,6.656,6.362,6.512,6.512,3406000,0,6.417345674566093
359,2011-11-29,6.498,6.614,6.326,6.35,6.35,2955500,0,6.585365852361207
360,2011-11-30,6.5,6.586,6.444,6.548,6.548,3801500,0,6.5156655018138565
361,2011-12-01,6.514,6.798,6.396,6.52,6.52,5151000,0,6.6225711720717015
362,2011-12-02,6.566,6.738,6.48,6.66,6.66,4014000,0,6.621333975943486
363,2011-12-05,6.706,7.0,6.686,6.884,6.884,5800500,0,6.723171613868999
364,2011-12-06,6.84,6.996,6.806,6.974,6.974,4759000,0,6.924148907801879
365,2011-12-07,6.926,6.978,6.76,6.838,6.838,3371500,0,7.055485475097157
366,2011-12-08,6.168,6.33,5.922,6.178,6.178,16529000,0,6.966586225596643
367,2011-12-09,6.108,6.224,6.056,6.208,6.208,6197500,0,6.381243397186779
368,2011-12-12,6.088,6.124,6.004,6.082,6.082,3793500,0,6.185572631225426
369,2011-12-13,6.114,6.186,5.782,5.89,5.89,4970500,0,6.079173764200817
